drug_a,drug_b,text,label,text_length,freq_drug_a,freq_drug_b
nelfinavir,netilmicin,no interaction known or reported,0,32,123,85
tranylcypromine,ropinirole,Tranylcypromine may increase the sedative activities of Ropinirole.,1,67,346,517
cariprazine,methotrimeprazine,The metabolism of Methotrimeprazine can be decreased when combined with Cariprazine.,1,84,141,230
cevimeline,indinavir,The metabolism of Indinavir can be decreased when combined with Cevimeline.,1,75,133,672
parecoxib,fluprednidene,The risk or severity of adverse effects can be increased when Parecoxib is combined with Fluprednidene.,1,103,242,139
paritaprevir,phenytoin,no interaction known or reported,0,32,81,173
vardenafil,acebutolol,Vardenafil may increase the antihypertensive activities of Acebutolol.,1,70,204,283
dicoumarol,estriol,Dicoumarol may decrease the anticoagulant activities of Estriol.,1,64,385,93
oxymorphone,butamben,The risk or severity of adverse effects can be increased when Oxymorphone is combined with Butamben.,1,100,368,191
sirolimus,nimodipine,The risk or severity of adverse effects can be increased when Sirolimus is combined with Nimodipine.,1,100,182,192
diclofenac,moclobemide,The metabolism of Moclobemide can be decreased when combined with Diclofenac.,1,77,339,262
vilanterol,fluticasone furoate,no interaction known or reported,0,32,108,151
docetaxel,gallium nitrate,The risk or severity of adverse effects can be increased when Docetaxel is combined with Gallium nitrate.,1,105,332,34
bendroflumethiazide,vecuronium,The serum concentration of Vecuronium can be increased when it is combined with Bendroflumethiazide.,1,100,246,99
bosutinib,dronabinol,The serum concentration of Dronabinol can be increased when it is combined with Bosutinib.,1,90,353,357
losartan,astemizole,no interaction known or reported,0,32,288,89
methadone,sunitinib,Methadone may increase the QTc-prolonging activities of Sunitinib.,1,66,456,139
velpatasvir,crizotinib,The metabolism of Crizotinib can be decreased when combined with Velpatasvir.,1,77,119,481
lixisenatide,propranolol,no interaction known or reported,0,32,25,264
granisetron,goserelin,Granisetron may increase the QTc-prolonging activities of Goserelin.,1,68,198,108
meperidine,flunarizine,The risk or severity of adverse effects can be increased when Meperidine is combined with Flunarizine.,1,102,413,335
albendazole,azithromycin,The metabolism of Azithromycin can be decreased when combined with Albendazole.,1,79,103,270
warfarin,carprofen,Warfarin may increase the anticoagulant activities of Carprofen.,1,64,476,170
lamotrigine,brompheniramine,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Brompheniramine.,1,107,137,243
levobupivacaine,esmolol,The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Esmolol.,1,103,348,196
liothyronine,ganciclovir,no interaction known or reported,0,32,41,26
iloperidone,atomoxetine,Iloperidone may increase the QTc-prolonging activities of Atomoxetine.,1,70,235,617
etoricoxib,pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Etoricoxib.,1,79,300,242
aceclofenac,parecoxib,The risk or severity of adverse effects can be increased when Aceclofenac is combined with Parecoxib.,1,101,207,220
acetylcholine,indinavir,The metabolism of Indinavir can be decreased when combined with Acetylcholine.,1,78,91,672
dexmedetomidine,cetirizine,The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Cetirizine.,1,106,281,216
enalaprilat,papaverine,The risk or severity of adverse effects can be increased when Enalaprilat is combined with Papaverine.,1,102,201,173
albendazole,diltiazem,The metabolism of Diltiazem can be decreased when combined with Albendazole.,1,76,103,583
methylergometrine,telithromycin,The serum concentration of Telithromycin can be increased when it is combined with Methylergometrine.,1,101,307,587
metoprolol,tibolone,Metoprolol may increase the hypotensive activities of Tibolone.,1,63,465,225
rucaparib,methotrimeprazine,The metabolism of Methotrimeprazine can be decreased when combined with Rucaparib.,1,82,151,230
dapsone,lanthanum carbonate,no interaction known or reported,0,32,166,37
triamcinolone,glipizide,The therapeutic efficacy of Glipizide can be decreased when used in combination with Triamcinolone.,1,99,210,134
alclometasone,demecarium,The risk or severity of adverse effects can be increased when Alclometasone is combined with Demecarium.,1,104,171,85
magnesium salicylate,fluocinonide,The risk or severity of adverse effects can be increased when Magnesium salicylate is combined with Fluocinonide.,1,113,179,139
cyclothiazide,guanethidine,Cyclothiazide may increase the hypotensive activities of Guanethidine.,1,70,92,129
asenapine,gadobenic acid,Asenapine may increase the QTc-prolonging activities of Gadobenic acid.,1,71,374,81
cetirizine,cyproheptadine,The risk or severity of adverse effects can be increased when Cetirizine is combined with Cyproheptadine.,1,105,124,225
clozapine,clemastine,The metabolism of Clemastine can be decreased when combined with Clozapine.,1,75,468,680
enzalutamide,difluprednate,The serum concentration of Difluprednate can be decreased when it is combined with Enzalutamide.,1,96,586,142
vorinostat,voxilaprevir,no interaction known or reported,0,32,64,64
oxybutynin,isavuconazonium,The metabolism of Isavuconazonium can be decreased when combined with Oxybutynin.,1,81,139,516
warfarin,omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Warfarin.,1,89,476,289
sitaxentan,calcium lactate,no interaction known or reported,0,32,86,67
rupatadine,moclobemide,The metabolism of Moclobemide can be decreased when combined with Rupatadine.,1,77,174,262
normethadone,clidinium,no interaction known or reported,0,32,184,238
rizatriptan,tryptophan,Rizatriptan may increase the serotonergic activities of Tryptophan.,1,67,136,98
ethylmorphine,phentermine,Ethylmorphine may increase the analgesic activities of Phentermine.,1,67,312,75
isradipine,fosaprepitant,The serum concentration of Fosaprepitant can be increased when it is combined with Isradipine.,1,94,205,547
ponatinib,isavuconazonium,The metabolism of Isavuconazonium can be decreased when combined with Ponatinib.,1,80,167,516
doxepin,trimethoprim,The metabolism of Trimethoprim can be decreased when combined with Doxepin.,1,75,270,336
enalapril,dasatinib,The serum concentration of Dasatinib can be increased when it is combined with Enalapril.,1,89,277,579
treprostinil,fluorouracil,The metabolism of Fluorouracil can be decreased when combined with Treprostinil.,1,80,231,233
diltiazem,roxatidine acetate,no interaction known or reported,0,32,266,47
rufinamide,guanfacine,The risk or severity of adverse effects can be increased when Rufinamide is combined with Guanfacine.,1,101,277,355
digoxin,calcium phosphate,Digoxin may increase the arrhythmogenic activities of Calcium Phosphate.,1,72,287,52
pentosan polysulfate,selexipag,Pentosan polysulfate may increase the anticoagulant activities of Selexipag.,1,76,157,196
magaldrate,hydrocortisone,The bioavailability of Hydrocortisone can be decreased when combined with Magaldrate.,1,85,123,178
halothane,eplerenone,The risk or severity of adverse effects can be increased when Halothane is combined with Eplerenone.,1,100,402,192
zileuton,olaparib,The metabolism of Olaparib can be decreased when combined with Zileuton.,1,72,279,489
brigatinib,mifepristone,The serum concentration of Mifepristone can be increased when it is combined with Brigatinib.,1,93,138,645
remikiren,bepridil,Remikiren may increase the hypotensive activities of Bepridil.,1,62,135,214
furazolidone,isoprenaline,The risk or severity of adverse effects can be increased when Furazolidone is combined with Isoprenaline.,1,105,209,105
azithromycin,alfuzosin,Azithromycin may increase the QTc-prolonging activities of Alfuzosin.,1,69,151,120
ibuprofen,cinoxacin,Ibuprofen may increase the neuroexcitatory activities of Cinoxacin.,1,67,252,203
elbasvir,amiodarone,The metabolism of Amiodarone can be decreased when combined with Elbasvir.,1,74,97,646
glipizide,rosoxacin,Glipizide may increase the hypoglycemic activities of Rosoxacin.,1,64,244,200
methadone,molindone,The risk or severity of adverse effects can be increased when Methadone is combined with Molindone.,1,99,456,224
aprindine,lopinavir,The metabolism of Lopinavir can be decreased when combined with Aprindine.,1,74,94,612
suprofen,salicylic acid,The risk or severity of adverse effects can be increased when Suprofen is combined with Salicylic acid.,1,103,216,251
butalbital,citalopram,The risk or severity of adverse effects can be increased when Butalbital is combined with Citalopram.,1,101,117,483
mirabegron,cabergoline,Mirabegron may increase the hypertensive activities of Cabergoline.,1,67,116,127
thiotepa,atazanavir,The metabolism of Atazanavir can be decreased when combined with Thiotepa.,1,74,99,597
sufentanil,losartan,The risk or severity of adverse effects can be increased when Sufentanil is combined with Losartan.,1,99,412,365
rifampicin,selegiline,The metabolism of Selegiline can be increased when combined with Rifampicin.,1,76,770,214
tixocortol,quinethazone,Tixocortol may increase the hypokalemic activities of Quinethazone.,1,67,125,249
phenprocoumon,irbesartan,The metabolism of Irbesartan can be decreased when combined with Phenprocoumon.,1,79,417,392
lomefloxacin,vemurafenib,The serum concentration of Vemurafenib can be increased when it is combined with Lomefloxacin.,1,94,54,356
ketazolam,amisulpride,The risk or severity of adverse effects can be increased when Ketazolam is combined with Amisulpride.,1,101,210,197
moricizine,nebivolol,Moricizine may increase the hypotensive activities of Nebivolol.,1,64,124,286
deferasirox,quetiapine,The serum concentration of Quetiapine can be decreased when it is combined with Deferasirox.,1,92,523,256
pitavastatin,dexamethasone,The serum concentration of Dexamethasone can be increased when it is combined with Pitavastatin.,1,96,298,186
bendamustine,fulvestrant,no interaction known or reported,0,32,56,53
paliperidone,cetirizine,The risk or severity of adverse effects can be increased when Paliperidone is combined with Cetirizine.,1,103,374,216
moxonidine,tolazoline,Moxonidine may increase the hypotensive activities of Tolazoline.,1,65,195,158
prasugrel,glipizide,no interaction known or reported,0,32,162,134
phenytoin,timolol,The metabolism of Timolol can be increased when combined with Phenytoin.,1,72,776,212
mestranol,etoricoxib,Mestranol may increase the thrombogenic activities of Etoricoxib.,1,65,111,232
trichloroethylene,triprolidine,The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Triprolidine.,1,110,135,228
tacrolimus,fusidic acid,The serum concentration of Fusidic acid can be increased when it is combined with Tacrolimus.,1,93,379,518
dextroamphetamine,mirtazapine,Dextroamphetamine may decrease the sedative activities of Mirtazapine.,1,70,227,179
methohexital,salicylic acid,no interaction known or reported,0,32,458,251
atovaquone,nisoldipine,no interaction known or reported,0,32,39,240
glyburide,floxuridine,The metabolism of Floxuridine can be decreased when combined with Glyburide.,1,76,242,224
bosentan,acebutolol,Bosentan may increase the hypotensive activities of Acebutolol.,1,63,644,283
rifaximin,diethylstilbestrol,The serum concentration of Diethylstilbestrol can be decreased when it is combined with Rifaximin.,1,98,375,209
bretylium,tizanidine,Bretylium may increase the bradycardic activities of Tizanidine.,1,64,111,319
